"date","rr","gp","p","ts","w","r"
"394","2021-03-14",-23,-8,12,-53,-13,7
"395","2021-03-15",-25,-9,8,-57,-35,13
"396","2021-03-16",-25,-4,14,-57,-34,13
"397","2021-03-17",-22,-4,33,-54,-33,13
"398","2021-03-18",-23,-4,6,-55,-33,14
"399","2021-03-19",-23,-3,7,-54,-33,14
"400","2021-03-20",-18,1,62,-44,-8,7
"401","2021-03-21",-15,-2,85,-46,-10,5
"402","2021-03-22",-20,-4,56,-54,-34,12
"403","2021-03-23",-21,-2,47,-54,-33,12
"404","2021-03-24",-23,-4,11,-55,-34,13
"405","2021-03-25",-19,0,55,-53,-33,13
"406","2021-03-26",-26,-7,-10,-56,-33,15
"407","2021-03-27",-20,1,22,-47,-9,8
"408","2021-03-28",-23,-7,-13,-54,-13,8
"409","2021-03-29",-23,-5,16,-56,-35,13
"410","2021-03-30",-20,1,53,-54,-34,12
"411","2021-03-31",-17,5,18,-53,-34,12
"412","2021-04-01",-6,22,13,-52,-34,11
"413","2021-04-02",-40,-17,53,-66,-70,23
"414","2021-04-03",-22,14,42,-50,-17,8
"415","2021-04-04",-45,-36,116,-53,-23,6
"416","2021-04-05",-21,0,82,-60,-54,16
"417","2021-04-06",-24,1,55,-55,-35,13
"418","2021-04-07",-20,2,48,-54,-35,13
"419","2021-04-08",-27,-3,70,-55,-35,14
"420","2021-04-09",-31,-5,42,-56,-34,15
"421","2021-04-10",-28,-2,93,-49,-13,8
"422","2021-04-11",-29,-6,63,-53,-17,8
"423","2021-04-12",-30,-6,23,-58,-37,14
"424","2021-04-13",-29,-1,65,-57,-37,14
"425","2021-04-14",-28,-1,65,-55,-37,14
"426","2021-04-15",-28,-2,27,-57,-36,15
"427","2021-04-16",-31,-4,21,-57,-36,15
"428","2021-04-17",-31,-3,59,-52,-14,9
"429","2021-04-18",-30,-6,73,-53,-16,8
"430","2021-04-19",-31,-8,45,-59,-38,14
"431","2021-04-20",-28,1,28,-57,-37,14
"432","2021-04-21",-31,-5,15,-58,-38,15
"433","2021-04-22",-30,-3,14,-58,-37,16
"434","2021-04-23",-30,-2,42,-57,-36,15
"435","2021-04-24",-28,0,78,-50,-13,9
"436","2021-04-25",-29,-4,37,-55,-16,8
"437","2021-04-26",-28,-4,42,-58,-37,14
"438","2021-04-27",-28,-1,60,-57,-37,14
"439","2021-04-28",-28,-1,31,-56,-37,14
"440","2021-04-29",-26,1,38,-56,-37,14
"441","2021-04-30",-29,0,9,-57,-36,15
"442","2021-05-01",-25,5,80,-47,-13,8
"443","2021-05-02",-24,0,99,-50,-16,7
"444","2021-05-03",-27,-2,23,-57,-38,13
"445","2021-05-04",-27,2,42,-57,-38,14
"446","2021-05-05",-27,1,35,-56,-37,14
"447","2021-05-06",-24,4,66,-55,-37,13
"448","2021-05-07",-27,3,51,-56,-36,14
"449","2021-05-08",-23,13,65,-50,-13,8
"450","2021-05-09",-15,11,110,-48,-12,5
"451","2021-05-10",-26,-2,68,-56,-38,13
"452","2021-05-11",-26,2,49,-57,-37,14
"453","2021-05-12",-23,6,80,-54,-37,13
"454","2021-05-13",-20,7,115,-53,-37,13
"455","2021-05-14",-23,6,106,-52,-36,13
"456","2021-05-15",-21,8,149,-43,-15,6
