date,reported,revised,mobility
2021-06-18,995.0,989,2.142518248175182
2021-06-19,820.0,845,10.126666666666669
2021-06-20,590.0,610,12.870095693779904
2021-06-21,978.0,944,-1.1502406738868831
2021-06-22,534.0,530,1.7357913669064746
2021-06-23,726.0,713,3.1825539568345325
2021-06-24,727.0,727,-9.43177458033573
2021-06-25,628.0,631,-1.4391304347826084
2021-06-26,,437,5.172822822822822
2021-06-27,,414,10.425961538461538
2021-06-28,1169.0,1110,0.0217208182912155
2021-06-29,443.0,450,-2.0712230215827336
2021-06-30,637.0,612,4.425959232613908
2021-07-01,84.0,127,-16.613908872901675
2021-07-02,893.0,855,-6.354136690647481
2021-07-03,297.0,307,9.860378787878789
2021-07-04,236.0,255,11.244131455399062
2021-07-05,903.0,888,0.4773164861612515
2021-07-06,289.0,298,0.1776378896882494
2021-07-07,580.0,561,-0.8198441247002399
2021-07-08,568.0,550,0.0461031175059949
2021-07-09,757.0,769,-0.445728038507822
2021-07-10,226.0,244,12.43719696969697
2021-07-11,167.0,167,9.862106918238991
2021-07-12,541.0,734,0.0793622141997591
2021-07-13,250.0,306,-0.20947242206235
2021-07-14,378.0,365,0.1375299760191845
2021-07-15,416.0,418,1.7774580335731414
2021-07-16,414.0,406,0.3745772946859903
2021-07-17,317.0,326,12.28386605783866
2021-07-18,282.0,302,13.188596491228072
2021-07-19,648.0,633,-2.316726618705036
2021-07-20,322.0,327,-0.9877697841726616
2021-07-21,528.0,503,-0.2598321342925658
2021-07-22,378.0,401,0.777398081534772
2021-07-23,590.0,586,-0.3969806763285026
2021-07-24,329.0,356,11.36214177978884
2021-07-25,265.0,264,13.754967948717953
2021-07-26,1075.0,1044,-1.972242206235012
2021-07-27,559.0,568,-1.5478417266187046
2021-07-28,796.0,789,-0.1630095923261388
2021-07-29,904.0,906,0.0332134292565947
2021-07-30,935.0,933,0.1945848375451266
2021-07-31,368.0,388,13.655203619909503
2021-08-01,273.0,275,13.951282051282051
2021-08-02,223.0,247,-10.628700361010829
2021-08-03,2366.0,2326,1.588189448441247
2021-08-04,985.0,980,0.8833333333333333
2021-08-05,1532.0,1530,1.3845323741007192
2021-08-06,1574.0,1575,0.0468110709987967
2021-08-07,555.0,572,12.294393241167434
2021-08-08,583.0,605,14.959285714285713
2021-08-09,3226.0,3170,0.7776978417266187
2021-08-10,1338.0,1346,1.2007220216606496
2021-08-11,1971.0,1970,0.6460431654676259
2021-08-12,2126.0,2137,2.134112709832134
2021-08-13,2464.0,2454,1.451268115942029
2021-08-14,705.0,901,14.82
2021-08-15,706.0,750,17.04492753623188
2021-08-16,4438.0,4359,1.2040167865707436
2021-08-17,2663.0,1868,1.2869304556354917
2021-08-18,,2521,1.49052757793765
2021-08-19,2871.0,2859,2.8790167865707432
2021-08-20,,2967,1.781528279181709
2021-08-21,887.0,930,13.923939393939396
2021-08-22,833.0,867,14.51275917065391
2021-08-23,,5974,1.198792270531401
2021-08-24,2387.0,2398,2.1700361010830327
2021-08-25,3152.0,3153,2.41378896882494
2021-08-26,3508.0,3494,3.0272182254196647
2021-08-27,3797.0,3795,3.095818181818182
2021-08-28,1296.0,1305,12.871941896024463
2021-08-29,1017.0,1085,15.14656862745098
2021-08-30,7418.0,7333,1.641095066185319
2021-08-31,2926.0,2921,3.3329121540312867
2021-09-01,4022.0,4001,3.389328537170264
2021-09-02,4000.0,4012,3.1800959232613906
2021-09-03,4268.0,4264,3.4475757575757573
2021-09-04,1428.0,1488,14.751206636500752
2021-09-05,1381.0,1454,15.253333333333332
2021-09-06,1070.0,1113,-29.08381818181818
2021-09-07,10376.0,10223,3.172182254196643
2021-09-08,3728.0,3718,1.308872901678657
2021-09-09,4267.0,4228,2.298681055155875
2021-09-10,4645.0,4685,2.9063405797101454
2021-09-11,,1815,11.558030303030302
2021-09-12,1413.0,1489,13.294497607655504
2021-09-13,,9538,1.2662454873646212
2021-09-14,3998.0,3993,0.2657673860911272
2021-09-15,,4461,0.7880095923261391
2021-09-16,,4670,2.41978417266187
2021-09-17,5094.0,5102,1.8156969696969696
2021-09-18,,1783,11.645530303030302
2021-09-19,,1764,13.16682615629984
2021-09-20,9292.0,9048,4.892839951865223
2021-09-21,,3721,1.390192539109507
2021-09-22,,4061,1.2800959232613909
